date_vente;heure;magasin;code_produit;libelle_produit;qte;prix_unitaire;mode_paiement
02/10/2025;20:26;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Carte Bancaire
10/05/2026;21:33;Magasin-Bafoussam-01;P-0410;Huile Coco Bio 500 ml;1;4500;Cash
25/01/2026;11:20;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;3;12000;Mobile Money
11/02/2026;18:24;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
28/12/2025;20:59;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Cash
09/11/2025;17:53;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Cash
16/03/2026;10:20;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;1;24500;Cash
06/08/2025;14:26;Magasin-Bafoussam-01;P-0407;Chemise Homme Slim Fit;1;13950;Carte Bancaire
28/01/2026;09:14;Magasin-Douala-02;P-0403;Power Bank 10000mAh;2;15000;Mobile Money
11/09/2025;20:09;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Carte Bancaire
04/11/2025;10:35;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;1;24500;Cash
07/03/2026;11:42;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;3;4500;Mobile Money
07/11/2025;14:25;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
14/02/2026;18:47;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
21/04/2026;17:30;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;2;12000;Cash
13/08/2025;19:52;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
16/05/2026;10:12;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;2;5000;Carte Bancaire
24/07/2025;09:59;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;3;3500;Mobile Money
11/12/2025;14:10;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;12500;Cash
15/04/2026;16:27;Magasin-Douala-01;P-0404;Montre Connectée FitTrack;1;32000;Cash
18/10/2025;16:34;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
16/10/2025;17:04;Magasin-Douala-02;P-0402;Chargeur Solaire Portable 20W;2;18000;Orange Money
02/06/2025;18:56;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Mobile Money
20/07/2025;13:11;Magasin-Yaounde-01;P-0406;Robe Wax Modèle Akwa;1;28000;Cash
08/09/2025;21:25;Magasin-Douala-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
11/07/2025;08:11;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
28/07/2025;13:38;Magasin-Douala-02;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
11/11/2025;17:44;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4050;Orange Money
06/11/2025;12:13;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;2;28000;Carte Bancaire
08/11/2025;15:19;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;1;5000;Mobile Money
06/06/2025;10:34;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;3;3500;Mobile Money
22/02/2026;21:34;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;3;24500;Cash
25/08/2025;18:43;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;1;3500;Cash
27/11/2025;15:24;Magasin-Douala-01;P-0404;Montre Connectée FitTrack;1;32000;Cash
28/07/2025;15:36;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Cash
13/07/2025;16:07;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Orange Money
03/04/2026;13:06;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Cash
27/08/2025;17:36;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Cash
12/06/2025;18:00;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
23/11/2025;13:50;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Carte Bancaire
14/02/2026;15:39;Magasin-Douala-02;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
19/12/2025;12:53;Magasin-Douala-01;P-0410;Huile Coco Bio 500 ml;1;4500;Mobile Money
13/01/2026;19:08;Magasin-Douala-01;P-0408;Sac à Main Cuir Bafia;1;35000;Cash
02/12/2025;20:10;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
14/12/2025;09:56;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;1;3150;Carte Bancaire
09/11/2025;18:30;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
22/01/2026;14:17;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
12/03/2026;11:40;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;1;5000;Mobile Money
05/11/2025;16:43;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Mobile Money
23/12/2025;14:57;Magasin-Douala-02;P-0413;Mug Personnalisé Céramique;1;5000;Carte Bancaire
15/06/2025;08:36;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;12500;Carte Bancaire
21/06/2025;10:42;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;11400;Carte Bancaire
03/05/2026;21:12;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;2;14725;Carte Bancaire
12/03/2026;11:23;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;2;12500;Cash
06/09/2025;19:21;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;2;4500;Carte Bancaire
10/04/2026;16:25;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;1;24500;Orange Money
25/10/2025;18:29;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
25/11/2025;11:38;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
17/12/2025;08:54;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;1;28000;Carte Bancaire
08/08/2025;14:44;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
08/09/2025;08:18;Magasin-Douala-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
14/07/2025;15:21;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
26/10/2025;21:05;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Cash
01/11/2025;16:07;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3150;Orange Money
05/05/2026;10:37;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Cash
13/09/2025;18:58;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Carte Bancaire
02/12/2025;08:03;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;;2000;Carte Bancaire
30/04/2026;16:14;Magasin-Douala-02;P-0414;Set 6 Verres Décorés;2;9000;Cash
13/03/2026;13:47;Magasin-Yaounde-01;P-0401;Casque BT XR200;1;22050;Cash
14/12/2025;12:13;Magasin-Douala-01;P-0411;Savon Noir Artisanal;2;2000;Carte Bancaire
07/06/2025;19:47;Magasin-Douala-02;P-0410;Huile Coco Bio 500 ml;1;4500;Orange Money
07/04/2026;20:09;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;2;5000;Mobile Money
05/06/2025;21:49;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
11/11/2025;19:12;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;1;3325;Cash
02/02/2026;20:39;Magasin-Douala-02;P-0413;Mug Personnalisé Céramique;1;5000;Cash
28/08/2025;14:56;Magasin-Yaounde-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Cash
12/12/2025;21:40;Magasin-Douala-02;P-0406;Robe Wax Modèle Akwa;2;28000;Mobile Money
28/04/2026;09:17;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;2;5000;Mobile Money
26/08/2025;21:34;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;3;4275;Carte Bancaire
18/10/2025;13:42;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Cash
15/06/2025;15:30;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
09/06/2025;19:40;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
02/03/2026;08:49;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Cash
14/12/2025;08:54;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
19/12/2025;15:20;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3500;Mobile Money
27/10/2025;10:42;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
24/11/2025;08:32;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;1;3500;Carte Bancaire
02/10/2025;20:17;Magasin-Yaounde-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
31/12/2025;13:49;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;2;3500;Orange Money
19/08/2025;10:10;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;3;3500;Orange Money
27/06/2025;15:51;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
15/04/2026;18:48;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;2;4500;Orange Money
12/08/2025;11:42;Magasin-Bafoussam-01;P-0408;Sac à Main Cuir Bafia;1;35000;Mobile Money
23/11/2025;09:08;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Carte Bancaire
10/12/2025;13:10;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Cash
25/08/2025;08:32;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;1800;Carte Bancaire
10/07/2025;17:31;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;1;3500;Cash
21/05/2026;12:06;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;2;4500;Mobile Money
13/05/2026;16:52;Magasin-Yaounde-01;P-0414;Set 6 Verres Décorés;1;9000;Cash
07/01/2026;10:43;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
30/12/2025;19:59;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
31/12/2025;15:24;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
14/02/2026;13:51;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;2;15000;Mobile Money
26/06/2025;17:13;Magasin-Douala-02;P-0402;Chargeur Solaire Portable 20W;1;18000;Mobile Money
09/08/2025;11:12;Magasin-Douala-02;P-0409;Sandales Cuir Artisanales;1;12500;Carte Bancaire
06/07/2025;18:33;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
08/01/2026;20:27;Magasin-Douala-01;P-0404;Montre Connectée FitTrack;1;32000;Carte Bancaire
31/10/2025;16:30;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Carte Bancaire
24/03/2026;08:11;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;11875;Cash
08/05/2026;11:47;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;2;12000;Orange Money
28/07/2025;16:11;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
01/12/2025;14:43;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3500;Carte Bancaire
19/12/2025;12:19;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Cash
04/06/2025;09:23;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Orange Money
17/11/2025;08:50;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;12500;Carte Bancaire
02/11/2025;08:47;Magasin-Douala-02;P-0411;Savon Noir Artisanal;3;2000;Orange Money
06/11/2025;15:30;Magasin-Douala-02;P-0408;Sac à Main Cuir Bafia;3;33250;Carte Bancaire
03/01/2026;11:06;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
15/12/2025;13:30;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
22/12/2025;16:21;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;3;4500;Orange Money
16/02/2026;13:47;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;1;12500;Orange Money
30/12/2025;17:57;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4050;Orange Money
24/04/2026;17:56;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Mobile Money
07/07/2025;17:21;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;1;3500;Carte Bancaire
09/07/2025;13:25;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;1;3150;Cash
07/11/2025;20:44;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;2;4500;Orange Money
23/09/2025;10:31;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Orange Money
02/09/2025;13:52;Magasin-Douala-02;P-0409;Sandales Cuir Artisanales;1;11875;Cash
01/08/2025;12:25;Magasin-Bafoussam-01;P-0401;Casque BT XR200;1;24500;Cash
07/04/2026;21:32;Magasin-Douala-01;P-0414;Set 6 Verres Décorés;2;9000;Carte Bancaire
03/06/2025;10:11;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
28/11/2025;13:25;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
30/05/2026;21:47;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;1;24500;Cash
13/12/2025;20:20;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Orange Money
17/08/2025;11:53;Magasin-Yaounde-01;P-0401;Casque Bluetooth XR-200;3;23275;Orange Money
05/05/2026;13:12;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;3;5000;Mobile Money
11/07/2025;20:38;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
